Total Population,Median Gross Rent,Median Household Income,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,"Total Year-Round Beds (ES, TH, SH)",Average Temperature,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,Overall_Homeless_Per_Capita,Overall_Homeless_Individuals_Per_Capita,Overall_Homeless_People_in_Families_Per_Capita,Unsheltered_Homeless_Per_Capita,Sheltered_Homeless_Per_Capita
590713,108536,6002686,17.24898555,18.12998737,30.71677441,48.09382491,10.302505,,50.1,634,422,212,310,324,0.001073279,0.000714391,0.000358888,0.00052479,0.00054849
588062,108335,5866803,17.77941782,19.0692526,31.86372567,49.50853595,11.14504863,,50,493,343,150,233,260,0.000838347,0.000583272,0.000255075,0.000396217,0.00044213
593217,113211,5970789,17.77073145,20.4434383,32.27415696,48.72392043,10.36117716,537,37.3,598,397,201,137,461,0.001008063,0.000669232,0.00033883,0.000230944,0.000777119
596895,113702,5937585,17.20805167,20.60022887,32.31405586,48.51698426,9.15856353,484,43.6,578,470,108,214,364,0.000968345,0.000787408,0.000180936,0.000358522,0.000609822
613148,117911,6141568,16.99165617,20.67180514,32.14288828,46.93038962,7.889118225,476,43,623,477,146,236,387,0.001016068,0.000777952,0.000238115,0.000384899,0.000631169
613782,120165,6359078,16.49136012,21.45117882,31.47334793,46.41542969,6.784780694,526,52.4,606,426,180,265,341,0.000987321,0.000694057,0.000293264,0.000431749,0.000555572
618657,122891,6603251,16.04087564,20.57920812,32.17797391,45.10618467,5.583988594,435,40.4,551,399,152,233,318,0.000890639,0.000644945,0.000245693,0.000376622,0.000514017
622330,124016,6688133,15.64170135,19.73417429,31.8203973,44.30059405,5.280593395,394,46.5,505,329,176,202,303,0.000811467,0.000528658,0.000282808,0.000324587,0.00048688
568110,143683,8054117,15.25584834,19.29690837,32.74398062,45.67610501,5.247742813,396,49.5,631,470,161,364,267,0.0011107,0.000827305,0.000283396,0.000640721,0.000469979
580820,149314,8200130,14.91787473,17.852132,33.27535582,45.20335718,5.16042491,377,46.6,219,103,116,0,219,0.000377053,0.000177335,0.000199718,0,0.000377053
591679,159157,8951196,15.20199297,16.92092956,32.711198,47.47598719,5.10411395,467,43.9,585,361,224,197,388,0.000988712,0.000610128,0.000378584,0.000332951,0.000655761
591679,159157,8951196,15.20199297,16.92092956,32.711198,47.47598719,5.10411395,394,51.4,670,501,169,357,313,0.001132371,0.000846743,0.000285628,0.000603368,0.000529003
265409,34623,2493900,16.91728615,14.68880197,26.195234,39.76758279,8.823578456,,46.7,265,143,122,134,131,0.000998459,0.000538791,0.000459668,0.000504881,0.000493578
265409,34623,2493900,16.91728615,14.68880197,26.195234,39.76758279,8.823578456,,43,249,173,76,71,178,0.000938175,0.000651824,0.000286351,0.000267512,0.000670663
265409,34623,2493900,16.91728615,14.68880197,26.195234,39.76758279,8.823578456,,45.3,281,222,59,68,213,0.001058743,0.000836445,0.000222298,0.000256208,0.000802535
265409,34623,2493900,16.91728615,14.68880197,26.195234,39.76758279,8.823578456,,40,170,131,39,8,162,0.000640521,0.000493578,0.000146943,3.01E-05,0.000610379
267893,37404,2554208,17.49392481,14.05982468,26.95789493,41.03943873,8.786718175,,41.1,244,219,25,10,234,0.000910811,0.000817491,9.33E-05,3.73E-05,0.000873483
267864,38048,2612573,18.15697518,14.35209615,27.0726818,40.44699569,9.623243669,,50.1,192,162,30,4,188,0.000716782,0.000604785,0.000111997,1.49E-05,0.000701849
267754,39387,2612489,18.64061788,14.32961422,27.30993507,39.63897215,10.26002112,,50,223,133,90,26,197,0.000832854,0.000496725,0.000336129,9.71E-05,0.00073575
267552,40253,2651748,19.1331031,14.57862346,27.54640691,40.01534561,9.507003605,266,37.3,209,132,77,20,189,0.000781157,0.000493362,0.000287795,7.48E-05,0.000706405
266918,40346,2643811,18.73234477,14.99615945,27.80743732,37.64838517,8.63429165,264,43.6,245,158,87,31,214,0.000917885,0.000591942,0.000325943,0.000116141,0.000801744
264010,40142,2693539,18.37127382,15.98472234,27.7800216,36.03597511,8.029888353,237,43,337,194,143,51,286,0.001276467,0.000734821,0.000541646,0.000193175,0.001083292
262313,40894,2812814,17.31862317,16.72508724,27.71377223,35.95344551,7.059717926,237,52.4,155,155,0,22,133,0.000590897,0.000590897,0,8.39E-05,0.000507028
264165,42402,2902067,16.31707456,18.07679741,27.55130141,35.41049149,5.835615248,210,40.4,256,166,90,22,234,0.000969091,0.000628395,0.000340696,8.33E-05,0.00088581
259748,40842,2884754,16.2114819,18.18649162,28.08062255,33.96791517,5.070567467,189,46.5,390,383,7,201,189,0.001501455,0.001474506,2.69E-05,0.000773827,0.000727628
249997,47054,3443878,15.37898455,18.77105203,28.47034905,35.02669071,4.833482292,285,49.5,215,96,119,41,174,0.00086001,0.000384005,0.000476006,0.000164002,0.000696008
238090,46884,3442599,15.46600025,18.34899411,30.15849138,34.03997577,4.400553106,246,46.6,183,183,0,34,149,0.000768617,0.000768617,0,0.000142803,0.000625814
252890,54176,3964592,15.06821148,17.87341106,28.91253854,33.68883964,4.005989942,246,43.9,232,121,111,34,198,0.000917395,0.000478469,0.000438926,0.000134446,0.000782949
252890,54176,3964592,15.06821148,17.87341106,28.91253854,33.68883964,4.005989942,302,51.4,195,112,83,32,163,0.000771086,0.00044288,0.000328206,0.000126537,0.000644549
490349,72790,5430027,13.14696267,10.32422495,28.88847474,40.2146838,9.061594047,,46.7,830,761,69,74,756,0.001692672,0.001551956,0.000140716,0.000150913,0.001541759
490349,72790,5430027,13.14696267,10.32422495,28.88847474,40.2146838,9.061594047,,43,714,596,118,77,637,0.001456106,0.001215461,0.000240645,0.000157031,0.001299075
490349,72790,5430027,13.14696267,10.32422495,28.88847474,40.2146838,9.061594047,,45.3,664,578,86,90,574,0.001354138,0.001178752,0.000175385,0.000183543,0.001170595
490349,72790,5430027,13.14696267,10.32422495,28.88847474,40.2146838,9.061594047,,40,819,678,141,174,645,0.001670239,0.001382689,0.00028755,0.000354849,0.00131539
506258,78349,5830042,13.28334565,10.62081682,29.31051918,40.40160088,9.026952272,,41.1,656,489,167,175,481,0.001295782,0.000965911,0.000329871,0.000345674,0.000950108
513397,82667,5786959,13.26614686,10.43247531,29.56439062,41.37948544,9.909968213,,50.1,607,448,159,175,432,0.001182321,0.000872619,0.000309702,0.000340867,0.000841454
526847,85874,5937118,13.4410939,10.33788496,29.24235234,40.57784321,10.33900516,,50,586,457,129,177,409,0.001112277,0.000867425,0.000244853,0.000335961,0.000776316
526830,86190,5812786,14.05709622,10.2841672,30.41585413,41.61951626,9.879624965,534,37.3,536,386,150,37,499,0.001017406,0.000732684,0.000284722,7.02E-05,0.000947175
536386,88778,5967979,14.31226766,9.896319359,30.86747356,41.76046756,8.861227923,532,43.6,420,300,120,63,357,0.000783018,0.000559299,0.000223719,0.000117453,0.000665565
555788,93513,6278150,13.74283,9.772156755,30.27095975,41.35419847,7.743075291,466,43,385,283,102,87,298,0.00069271,0.000509187,0.000183523,0.000156535,0.000536176
555028,92477,6447933,14.15514172,9.875122551,30.46578626,41.92967592,6.595828817,487,52.4,436,327,109,99,337,0.000785546,0.000589159,0.000196386,0.000178369,0.000607177
562715,96665,6786601,13.45903344,9.942980643,30.3806156,41.53588366,5.902165428,531,40.4,424,336,88,116,308,0.00075349,0.000597105,0.000156385,0.000206143,0.000547346
549801,95544,6646250,13.02871403,9.625950928,31.24125552,40.59456991,5.229010298,551,46.5,464,340,124,87,377,0.000843942,0.000618406,0.000225536,0.000158239,0.000685703
